,31,-,-,-,"2,615.00",-,525,"2,761.50","2,874.75",525,"21,700.00","8,350",0.55,0.60,"31,100",-0.35,0.55,33.22,"2,28,969","31,551","49,701",
,3,3,4,-,"2,707.05",869.15,"1,775","2,624.20","2,849.60",525,"21,750.00","49,000",0.55,0.65,125,-0.35,0.55,32.65,"87,964","12,441","13,545",
,26,-,-,-,"2,518.00",-,525,"2,657.40","2,769.45",250,"21,800.00","41,225",0.55,0.60,325,-0.30,0.60,32.34,"1,10,143","16,776","21,015",
,112,-,-,-,"2,552.55",-,"1,775","2,465.40","2,755.40","1,000","21,850.00",575,0.60,0.65,"24,900",-0.30,0.60,31.77,"51,371","6,750","7,374",
,46,-,-,-,"2,402.00",-,525,"2,562.05","2,673.90",525,"21,900.00","46,600",0.60,0.70,"50,000",-0.45,0.60,31.20,"26,738","1,697","2,501",
,191,2,2,-,"2,508.65",143.65,25,"2,525.15","2,619.20",25,"21,950.00","26,375",0.65,0.70,25,-0.25,0.65,30.87,"30,215","2,490","3,825",
,589,13,32,53.27,"2,575.00",206.85,50,"2,515.55","2,562.15",25,"22,000.00",250,0.80,0.95,"22,250",-0.20,0.95,31.44,"1,21,936","20,103","56,563",
,1,-,-,-,"1,614.00",-,"1,775","2,332.50","2,553.25","1,000","22,050.00",25,0.80,1.80,50,-0.50,0.75,30.13,"10,599",518,649,
,4,-,-,-,"2,198.65",-,525,"2,192.20","2,494.15","1,000","22,100.00","9,000",0.70,1.80,50,-0.30,0.95,30.26,"13,953",963,"2,050",
,2,-,-,-,"2,151.00",-,525,"2,040.00","2,432.00",525,"22,150.00","7,200",0.70,1.20,50,-0.50,0.75,28.98,"8,112",508,644,
,34,2,2,-,"2,258.05",143.05,50,"2,286.70","2,350.45",50,"22,200.00","7,550",0.70,1.80,50,-0.55,0.70,28.21,"19,431","1,857","3,185",
,2,-,-,-,"2,067.00",-,"1,775","2,163.05","2,355.90","1,000","22,250.00","9,000",0.70,1.75,"4,100",-0.40,0.85,28.17,"9,423",596,861,
,5,-,-,-,"1,960.00",-,525,"2,090.85","2,282.55","1,000","22,300.00","2,025",0.90,1.80,50,-0.40,0.90,27.75,"18,876",348,"1,969",
,8,2,2,-,"2,107.15",136.15,525,"2,112.40","2,229.95",525,"22,350.00","19,750",1.00,2.00,"1,800",-0.25,1.00,27.46,"11,192",396,640,
,17,9,24,-,"2,129.80",148.60,100,"2,076.30","2,147.80",75,"22,400.00",500,0.95,1.40,"1,100",-0.35,1.00,26.87,"21,113","1,179","3,722",
,10,2,4,-,"2,008.40",405.75,525,"2,018.70","2,122.65",250,"22,450.00",25,1.00,2.00,100,-0.30,1.10,26.54,"9,676",864,"1,068",
,"2,148",2,3,-,"2,025.00",155.75,525,"1,965.65","2,074.65",625,"22,500.00","1,100",1.30,1.35,"3,200",-0.10,1.35,26.53,"1,73,252","8,490","48,085",
,11,-,-,-,"1,800.00",-,"1,775","1,858.50","2,029.95",525,"22,550.00","7,200",0.90,1.50,300,-0.25,1.10,25.35,"12,425",564,"1,007",
,86,-,115,-,"1,920.45",147.15,25,"1,913.55","1,943.40",150,"22,600.00",675,1.15,2.45,"1,800",-0.25,1.15,24.88,"50,172","3,727","8,355",
,12,2,2,-,"1,808.35",100.35,50,"1,826.05","1,927.05",525,"22,650.00","1,000",1.00,1.50,500,-0.30,1.15,24.28,"15,360",540,946,
,271,-3,5,-,"1,800.00",142.00,25,"1,783.05","1,850.20",50,"22,700.00","1,400",1.00,1.80,500,-0.45,1.15,23.68,"33,002",-96,"5,256",
,80,-,-,-,"1,621.90",-,525,"1,716.90","1,824.30",525,"22,750.00","1,800",0.95,2.75,"1,800",-0.35,1.15,23.08,"16,168",520,832,
,280,5,6,-,"1,700.45",133.75,50,"1,680.50","1,748.15",50,"22,800.00","18,000",1.25,1.70,"1,925",-0.25,1.35,22.89,"94,650","-2,201","12,226",
,9,2,2,-,"1,611.35",441.30,525,"1,624.35","1,731.00","1,000","22,850.00",25,1.20,1.75,475,-0.30,1.30,22.19,"20,405",671,"1,090",
,323,4,37,-,"1,606.20",149.40,25,"1,581.45","1,650.05",50,"22,900.00",25,1.40,1.85,"1,000",-0.25,1.45,21.86,"71,739","3,075","7,824",
,6,-,-,-,"1,285.00",-,525,"1,502.60","1,626.40",525,"22,950.00",500,1.25,2.00,500,-0.25,1.50,21.33,"39,027","2,280","2,760",
,"3,763",657,"1,314",-,"1,519.55",143.35,100,"1,512.85","1,553.05",25,"23,000.00","48,100",1.65,1.80,"4,850",-0.25,1.65,20.95,"5,25,633","45,837","1,15,787",
,16,-2,6,29.27,"1,507.45",299.30,50,"1,450.60","1,488.90",50,"23,050.00",500,1.70,1.90,"1,800",-0.25,1.70,20.41,"44,242","1,101","3,341",
,514,-3,41,-,"1,417.60",157.40,50,"1,419.60","1,428.45",125,"23,100.00","4,175",2.00,2.20,"1,800",0.05,2.00,20.19,"1,80,479","6,496","21,421",
,8,-,10,33.34,"1,430.30",275.30,50,"1,351.30","1,389.00",25,"23,150.00","3,725",1.80,2.00,"1,150",-0.20,1.80,19.30,"1,07,926","15,369","19,092",
,"1,318",-5,58,30.10,"1,369.90",202.10,275,"1,269.15","1,349.25",175,"23,200.00",850,1.60,2.25,475,-0.60,1.60,18.40,"3,27,202","-2,557","33,933",
,164,-,3,-,"1,242.40",142.40,50,"1,252.20","1,289.25",50,"23,250.00",25,1.80,2.90,25,-0.55,1.90,18.16,"66,924","1,388","10,702",
,"1,521",-4,72,-,"1,218.70",149.70,50,"1,220.25","1,228.45",50,"23,300.00","13,750",2.05,2.50,125,-0.05,2.45,18.13,"4,26,421","37,774","67,099",
,40,10,42,-,"1,162.85",122.60,575,"1,121.70","1,199.35",50,"23,350.00","1,800",2.10,3.05,"9,000",0.30,3.10,18.06,"82,383","5,077","15,669",
,"1,319",-10,310,-,"1,124.70",156.65,100,"1,121.20","1,126.95",50,"23,400.00","1,700",2.30,2.75,"1,000",-0.70,2.30,16.68,"3,47,796","12,719","53,774",
,135,14,162,-,"1,070.00",116.65,125,"1,065.05","1,098.25",50,"23,450.00","10,050",2.05,2.90,"1,400",-0.85,2.40,16.12,"1,55,159","3,267","17,926",
,"6,134",-163,"2,642",-,"1,020.10",142.95,100,"1,020.45","1,027.90",50,"23,500.00",250,2.65,3.00,175,-1.10,2.65,15.68,"8,33,730","10,229","1,71,007",
,149,13,101,-,972.90,141.75,50,924.20,"1,018.55",275,"23,550.00",25,2.80,3.20,"1,700",-0.95,3.20,15.44,"3,09,029","8,280","39,814",
,"1,481",-42,370,-,920.95,151.25,100,922.15,927.45,50,"23,600.00","2,725",3.05,3.35,"1,375",-1.15,3.35,14.86,"3,97,787","23,255","78,926",
,345,4,121,-,868.75,149.95,525,822.85,895.30,50,"23,650.00",250,3.45,3.90,25,-1.50,3.70,14.40,"1,74,729","9,094","21,691",
,"3,106",-19,"1,581",-,821.10,142.55,100,822.75,829.10,50,"23,700.00",800,4.10,4.40,"2,400",-2.00,4.10,13.93,"7,97,655","63,599","1,20,713",
,224,14,"1,114",-,777.20,152.25,100,774.35,782.65,875,"23,750.00","5,850",4.35,5.00,"1,800",-2.50,4.75,13.55,"4,72,581","37,195","56,005",
,"4,068",-314,"3,615",-,724.00,143.90,200,724.45,731.15,150,"23,800.00",550,5.30,5.80,550,-3.85,5.30,13.07,"8,44,438","20,066","85,869",
,415,-302,"1,172",-,678.50,139.20,350,674.60,682.80,25,"23,850.00","1,125",5.70,7.25,300,-4.45,6.70,12.87,"4,63,835","-2,159","30,987",
,"3,802",20,"6,090",-,632.00,135.95,200,627.30,633.00,50,"23,900.00",25,7.30,7.50,"3,400",-6.75,7.50,12.37,"9,01,376","11,781","69,013",
,565,33,"3,975",-,579.15,134.70,750,576.95,584.60,100,"23,950.00","1,300",8.00,9.15,"1,125",-10.05,8.00,11.74,"6,31,115","4,673","26,222",
,"19,030","-3,371","68,606",-,535.35,138.70,425,532.00,535.35,75,"24,000.00",200,10.95,11.10,375,-12.35,11.05,11.74,"16,18,697","70,732","2,09,458",
,"1,589",198,"9,183",-,484.45,126.15,50,483.95,489.05,100,"24,050.00",500,13.30,13.95,100,-15.45,13.90,11.51,"5,84,321","16,038","38,392",
,"8,103","-2,978","50,752",-,440.00,128.60,100,437.15,442.35,50,"24,100.00",550,16.60,17.00,"4,000",-20.10,17.00,11.20,"12,28,693","34,230","99,089",
,"2,949","-1,134","38,134",5.81,392.80,119.30,100,392.10,397.05,50,"24,150.00",625,21.20,21.95,500,-25.40,21.20,10.94,"6,32,227","-6,986","39,272",
,"37,290","-29,134","3,22,896",8.39,353.65,118.20,100,348.35,352.50,25,"24,200.00","2,825",27.00,27.60,500,-30.30,27.70,10.86,"16,81,796","22,866","1,40,845",
,"15,426","-5,186","1,82,889",8.16,307.95,108.30,300,304.40,308.00,250,"24,250.00","1,475",34.00,34.10,50,-37.90,34.85,10.66,"9,63,083","7,369","55,542",
,"74,765","-22,040","10,50,049",8.35,267.00,98.65,250,264.90,267.00,200,"24,300.00",900,42.80,43.00,"3,475",-49.15,43.00,10.40,"25,15,238","60,739","1,79,509",
,"24,427","-15,053","10,72,556",8.52,228.95,87.80,350,226.20,229.00,25,"24,350.00",650,54.00,55.00,"3,625",-55.65,55.00,10.33,"17,89,818","36,753","77,211",
,"1,13,348","-14,804","30,92,088",8.51,192.20,76.10,175,191.20,193.00,400,"24,400.00",900,68.00,68.45,100,-68.30,68.00,10.13,"37,11,577","1,35,398","2,01,404",
,"35,631","6,934","17,23,961",8.50,158.80,64.75,75,158.00,158.80,975,"24,450.00",50,84.55,86.00,275,-74.65,84.55,10.02,"16,16,953","42,561","50,348",
,"1,53,938","42,961","43,54,310",8.49,128.85,54.65,25,128.25,130.00,"7,175","24,500.00","2,300",105.00,106.00,"1,000",-88.45,106.00,10.07,"34,22,962","1,09,931","1,52,321",
,"57,625","30,484","22,80,763",8.52,103.05,46.15,100,103.05,104.00,"1,775","24,550.00",75,129.15,130.65,475,-98.25,129.15,10.00,"13,61,605","30,555","33,099",
,"1,17,011","40,902","33,95,905",8.47,80.00,37.60,"6,550",80.00,80.40,825,"24,600.00",225,155.00,157.00,50,-110.55,155.10,9.90,"13,09,959","33,859","40,747",
,"36,024","16,799","14,25,691",8.40,60.45,28.05,500,60.50,61.75,"1,075","24,650.00",50,186.75,187.65,100,-109.40,186.75,10.02,"3,18,664","6,737","7,378",
,"1,29,315","65,407","22,74,467",8.42,45.25,21.05,25,44.55,45.30,800,"24,700.00",50,219.15,222.00,875,-125.40,221.65,10.17,"3,38,416","13,867","16,026",
,"47,633","26,193","14,27,737",8.37,32.60,14.95,500,32.15,32.60,450,"24,750.00",50,256.25,260.00,325,-118.40,260.00,10.42,"63,430","3,079","3,468",
,"1,21,436","16,784","23,24,229",8.38,23.30,10.40,"1,000",22.80,23.30,100,"24,800.00",50,297.60,300.00,125,-131.60,300.00,10.64,"1,04,977","6,425","7,886",
,"71,317","43,189","14,52,379",8.28,15.50,6.05,500,15.40,15.50,925,"24,850.00",50,339.30,343.90,150,-127.80,341.45,10.81,"14,462","1,185","1,333",
,"1,47,932","94,806","20,19,651",8.31,10.60,3.60,400,10.60,10.90,500,"24,900.00",100,384.35,388.00,25,-144.35,384.60,11.00,"14,257",650,"1,106",
,"39,926","15,759","12,16,492",8.39,7.25,2.00,500,6.65,7.25,300,"24,950.00","1,925",420.20,438.10,"2,075",-154.00,435.70,12.17,"3,969",274,338,
,"2,75,469","85,051","26,05,148",8.66,5.50,1.35,"3,950",5.10,5.45,500,"25,000.00","1,150",482.75,483.50,100,-136.25,482.75,12.72,"44,669","4,828","7,333",
,"64,018","47,343","9,72,709",8.57,3.30,0.25,150,3.10,3.45,"1,450","25,050.00",50,527.10,559.20,425,"-1,025.80",535.20,14.05,796,250,250,
,"1,06,395","51,741","11,97,903",8.84,2.50,0.15,"3,475",2.40,2.70,"16,400","25,100.00",50,577.05,581.20,100,-139.90,582.00,14.50,"1,535",724,757,
,"44,261","32,172","4,17,143",8.96,1.70,-0.30,"1,700",1.55,1.70,"3,525","25,150.00",750,578.05,676.00,525,"-1,020.55",628.20,14.75,191,46,46,
,"1,03,340","55,197","8,61,544",9.28,1.35,-0.40,"2,18,225",1.30,1.35,"50,200","25,200.00",50,675.10,680.50,50,-155.35,678.10,15.61,492,46,79,
,"22,771","13,268","2,14,004",9.61,1.10,-0.30,"78,700",1.10,1.20,"3,600","25,250.00",50,723.75,731.60,50,"-1,007.80",730.10,16.86,98,15,15,
,"83,984","35,717","4,42,070",10.13,1.05,-0.30,"30,575",1.05,1.10,"93,925","25,300.00",50,774.25,780.15,150,-156.05,775.90,16.89,280,36,136,
,"16,282","5,453","1,06,063",10.50,0.90,-0.30,"23,175",0.90,0.95,"1,600","25,350.00",200,812.30,849.75,200,"-1,005.40",822.85,17.04,4,1,1,
,"58,706","14,126","3,57,708",11.06,0.90,-0.20,"87,525",0.85,0.90,"14,700","25,400.00",50,873.75,880.10,25,"-1,033.40",840.45,-,21,17,17,
,"14,240",988,"93,576",11.46,0.80,-0.25,"18,050",0.80,0.85,"16,750","25,450.00",150,899.55,949.70,150,-193.95,882.00,-,10,5,7,
,"1,66,724","97,304","8,49,680",12.00,0.80,-0.35,"13,17,850",0.75,0.80,"1,05,900","25,500.00",50,973.65,978.95,125,-114.15,980.00,21.11,237,46,199,
,"6,303","4,864","37,065",12.45,0.75,-0.40,"9,075",0.75,0.80,"1,650","25,550.00","1,775",942.20,"1,114.55","1,000",-,-,-,-,-,-,
,"14,898","2,802","1,06,173",12.98,0.75,-0.35,"57,500",0.70,0.75,"41,950","25,600.00",150,"1,061.65","1,099.65",150,"-1,048.20","1,010.60",-,4,1,1,
,"15,113","14,047","61,140",13.88,0.95,-0.15,"7,700",0.70,0.95,"27,975","25,650.00","1,775","1,029.25","1,196.80","1,000",-,-,-,-,-,-,
,"8,817","1,028","55,785",13.82,0.65,-0.35,"36,600",0.65,0.70,"18,050","25,700.00",250,"1,128.65","1,233.90",250,-,-,-,-,-,-,
,"5,261","3,847","26,631",14.46,0.70,-0.35,"8,925",0.65,0.80,"2,225","25,750.00","1,775","1,113.00","1,324.05","1,000",-,-,-,-,-,-,
,"28,845","23,647","1,23,484",14.60,0.55,-0.40,"1,87,150",0.55,0.60,"29,750","25,800.00",50,"1,261.45","1,299.40",25,-125.05,"1,230.80",-,11,-5,35,
,"11,005","10,502","43,518",14.96,0.50,-0.50,"17,450",0.50,0.55,"26,575","25,850.00",250,"1,272.45","1,378.55",250,-,-,-,-,-,-,
,"23,903","19,911","1,12,086",15.46,0.50,-0.40,"3,35,875",0.45,0.50,"30,650","25,900.00","1,000","1,243.25","1,487.80","1,775",-,-,-,-,-,-,
,"12,225","11,668","41,595",15.78,0.45,-0.50,"2,17,425",0.45,0.50,"39,325","25,950.00","1,775","1,293.00","1,496.35","1,000",-,-,-,-,-,-,
,"1,39,233","34,725","6,09,308",16.44,0.50,-0.25,"3,55,625",0.45,0.50,"4,55,550","26,000.00",50,"1,472.65","1,480.85",75,-257.60,"1,475.35",27.86,68,38,51,
,"17,701","16,500","65,511",16.57,0.40,-0.45,"2,96,300",0.40,0.45,"4,575","26,050.00",525,"1,436.15","1,599.10",525,-,-,-,-,-,-,
,"13,144","12,227","60,369",17.05,0.40,-0.45,"3,12,100",0.40,0.45,"45,350","26,100.00",525,"1,485.70","1,655.45",525,-,-,-,-,-,-,
,"19,412","18,325","85,035",17.53,0.40,-0.45,"80,550",0.40,0.45,"47,900","26,150.00",525,"1,534.00","1,708.55",525,-,-,-,-,-,-,
,"1,08,969","35,322","3,36,778",18.00,0.40,-0.35,"1,92,475",0.40,0.45,"4,55,400","26,200.00",525,"1,582.30","1,748.80",525,-940.20,"1,691.05",34.89,1,1,1,
